:Predicted_Sunspot_Numbers_and_Radio_Flux: Predict.txt
:Created: 2019 Sep 09 0300 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center (SWPC).
# Please send comments and suggestions to swpc.webmaster@noaa.gov
#
# Sunspot Number: S.I.D.C. Brussels International Sunspot Number.
# 10.7cm Radio Flux value: Penticton, B.C. Canada.
# Predicted values are based on the consensus of the Solar Cycle 24 Prediction Panel.
#
# See the README3 file for further information.
#
# Missing or not applicable data:  -1
#
#         Predicted Sunspot Number And Radio Flux Values
#                     With Expected Ranges
#
#         -----Sunspot Number------  ----10.7 cm Radio Flux----
# YR MO   PREDICTED    HIGH    LOW   PREDICTED    HIGH    LOW
#--------------------------------------------------------------
2019 03         2.9     3.9     1.9       69.5    70.5    68.5
2019 04         3.1     5.1     1.1       69.0    70.0    68.0
2019 05         3.3     6.3     0.3       68.5    70.5    66.5
2019 06         3.4     8.4     0.0       67.9    70.9    64.9
2019 07         3.5     8.5     0.0       67.2    71.2    63.2
2019 08         3.6     9.6     0.0       66.5    70.5    62.5
2019 09         3.6    10.6     0.0       65.7    70.7    60.7
2019 10         3.4    10.4     0.0       64.8    70.8    60.0
2019 11         3.2    11.2     0.0       64.0    71.0    60.0
2019 12         3.1    12.1     0.0       63.3    71.3    60.0
2020 01         3.3    12.3     0.0       62.7    70.7    60.0
2020 02         3.4    13.4     0.0       62.2    71.2    60.0
2020 03         3.4    13.4     0.0       61.8    70.8    60.0
2020 04         3.0    13.0     0.0       61.5    70.5    60.0
2020 05         2.8    12.8     0.0       61.3    70.3    60.0
2020 06         2.6    12.6     0.0       61.1    70.1    60.0
2020 07         2.4    12.4     0.0       60.9    69.9    60.0
2020 08         2.2    12.2     0.0       60.7    69.7    60.0
2020 09         2.0    12.0     0.0       60.6    69.6    60.0
2020 10         1.9    11.9     0.0       60.4    69.4    60.0
2020 11         1.7    11.7     0.0       60.3    69.3    60.0
2020 12         1.6    11.6     0.0       60.2    69.2    60.0
2021 01         1.5    11.5     0.0       60.0    69.0    60.0
2021 02         1.3    11.3     0.0       59.9    68.9    60.0
2021 03         1.2    11.2     0.0       59.8    68.8    60.0
2021 04         1.1    11.1     0.0       59.7    68.7    60.0
2021 05         1.0    11.0     0.0       59.6    68.6    60.0
2021 06         0.9    10.9     0.0       59.6    68.6    60.0
2021 07         0.9    10.9     0.0       59.5    68.5    60.0
2021 08         0.8    10.8     0.0       59.4    68.4    60.0
2021 09         0.7    10.7     0.0       59.4    68.4    60.0
2021 10         0.7    10.7     0.0       59.3    68.3    60.0
2021 11         0.6    10.6     0.0       59.2    68.2    60.0
2021 12         0.5    10.5     0.0       59.2    68.2    60.0
2022 01         0.5    10.5     0.0       59.2    68.2    60.0
2022 02         0.4    10.4     0.0       59.1    68.1    60.0
2022 03         0.4    10.4     0.0       59.1    68.1    60.0
2022 04         0.4    10.4     0.0       59.0    68.0    60.0
2022 05         0.3    10.3     0.0       59.0    68.0    60.0
2022 06         0.3    10.3     0.0       59.0    68.0    60.0
2022 07         0.3    10.3     0.0       59.0    68.0    60.0
2022 08         0.2    10.2     0.0       58.9    67.9    60.0
2022 09         0.2    10.2     0.0       58.9    67.9    60.0
2022 10         0.2    10.2     0.0       58.9    67.9    60.0
2022 11         0.2    10.2     0.0       58.9    67.9    60.0
2022 12         0.2    10.2     0.0       58.9    67.9    60.0
